不俟驾	bù sì jià
不倒	bù dǎo
不倒口	bù dǎo kǒu
不倒翁	bù dǎo wēng
不值当	bù zhí dàng
不值得	bù zhí de
不值识者一笑	bù zhí shí zhě yí xiào
不停地转动	bù tíng de zhuàn dòng
不充分地	bù chōng fèn de
不兴	bù xīng
不切实际	bù qiē shí jì
不切题	bú qiè tí
不切题地	bú qiè tí de
不到	bú dào
不到乌江心不死	bú dào wū jiāng xīn bù sǐ
不到位	bú dào wèi
不到头	bú dào tóu
不到家	bú dào jiā
不到得	bú dào de
不到的	bú dào de
不到长城非好汉	bú dào cháng chéng fēi hǎo hàn
不剌	bù là
不剌剌	bù là là
不剌头	bù là tóu
不动如山	bú dòng rú shān
不协调地	bù xié tiáo de
不卖查梨	bù mài zhā lí
不可估量	bù kě gū liang
不可变更地	bù kě biàn gēng de
不可奈何	bù kě mài hé
不可揆度	bù kě kuí duó
不可究诘	bù kě jiū jié
不可胜举	bù kě shèng jù
不可胜数	bù kě shèng shǔ
不含糊	bù hán hu
不含糊地	bù hán hù de
不固定地	bù gù deng de
不在乎	bù zài hu
不在行	bù zài háng
不塞不流	bù sè bù liú
不处	bù chǔ
不夜侯	bù yè hòu
不大方便	bú dà fāng biàn
不奈之何	bù nai zhī hé
不如薄技在身	bù rú bó jì zài shēn
不子	bù zǐ
不安分	bù ān fèn
不安定地	bù ān deng de
不定地	bù deng de
不定时地	bù deng shí de
不定期地	bù deng qī de
不定期地出现	bù deng qī de chū xiàn
不定期地检查	bù deng qī de jiǎn chá
不客气	bú kè qì
不客气地	bú kè qì de
不客气地说	bú kè qì de shuō
不害臊地	bù hài sào de
不寐	bú mèi
不对	bú duì
不对劲	bú duì jìn
不对味儿	bú duì wèi er
不对头	bú duì tóu
不对当	bú duì dāng
不对碴儿	bú duì chá ér
不对茬儿	bú duì chá ér
不寻思	bù xín sī
不尽	bù jìn
不尽然	bù jìn rán
不屑一读	bú xiè yì dú
不屑于	bú xiè yú
不屑意	bú xiè yì
不差上下	bù chā shàng xià
不差什	bù chà shí
不差什么	bù chà shí mǒ
不差似	bù chà sì
不差毫厘	bù chā háo lí
不差毫发	bù chā háo fà
不差累黍	bù chā lěi shǔ
不带头巾男子汉	bù dài tóu jīn nán zǐ hàn
不干不净	bù gān bù jìng
不干净	bù gān jìng
不干胶	bù gān jiāo
不幸地成为	bù xìng de chéng wéi
不幸而言中	bù xìng ér yán zhòng
不应得地	bù yīng de de
不当	bù dàng
不当事	bù dàng shì
不当人	bù dàng rén
不当人子	bù dāng rén zǐ
不当价	bù dàng jià
不当地	bù dàng de
不当奇	bù dàng qí
不当家	bù dàng jiā
不当家化化的	bù dàng jiā huà huà de
不当家花拉	bù dàng jiā huā lā
不当家豁拉	bù dàng jiā huō lā
不当得利	bù dàng de lì
不当村	bù dàng cūn
不当稳便	bù dàng wěn biàn
不当道	bù dàng dào
不徇	bù xún
不徇私情	bù xún sī qíng
不得命	bu de ming
不得已而为之	bù dé yǐ ér wéi zhī
不得虎子	bù dé hǔ zǐ
不忘宿志	bú wàng sù zhì
不念僧面也念佛面	bù niàn sēng miàn yě niàn fó miàn
不念僧面念佛面	bù niàn sēng miàn niàn fó miàn
不怀好意	bù huái hào yì
不恁地	bù nèn dì
不恰当地	bù qià dàng de
不悦	bú yuè
不悦地	bú yuè de
不惜一切代价	bù xī yí qiè dài jià
不战而胜	bú zhàn ér shèng
不战而降	bú zhàn ér xiáng
不戴头巾男子汉	bù dài tóu jīn nán zǐ hàn
不拔一毛	bù bá yì máo
不拘于时	bu ju yu shi
不揣	bù chuǎi
不揣冒昧	bù chuǎi mào mèi
不揪不睬	bù chǒu bù cǎi
不敢为天下先	bù gǎn wéi tiān xià xiān
不数数	bù shǔ shù
不断地供给	bù duàn de gōng jǐ
不断地做出决定	bù duàn de zuò chū jué deng
不断地反省	bù duàn de fǎn xǐng
不断地反省自己	bù duàn de fǎn xǐng zì jǐ
不断地挣扎	bù duàn de zhēng zhá
不断地适应	bù duàn de shì yìng
不断地重复	bù duàn de chóng fù
不早当晚	bù zǎo dàng wǎn
不是	bú shì
不是一般地	bú shì yì bān de
不是东风压了西风	bú shì dōng fēng yā le xī fēng
不是个儿	bú shì gè ér
不是久住之乡	bú shì jiǔ zhù zhī xiāng
不是久恋之家	bú shì jiǔ liàn zhī jiā
不是事	bú shì shì
不是味儿	bú shì wèi ér
不是处	bú shì chù
不是头	bú shì tóu
不是好好地	bú shì hǎo hǎo de
不是寃家不聚头	bú shì yuān jiā bù jù tóu
不是很好地	bú shì hěn hǎo de
不是滋味	bú shì zī wèi
不是玩的	bú shì wán de
不是简单地	bú shì jiǎn dān de
不是能更好地	bú shì néng gèng hǎo de
不是话	bú shì huà
不是话头	bú shì huà tóu
不是路	bú shì lù
不更	bù gēng
不更事	bù gēng shì
不曾序过	bu ceng xu guo
不来头	bù lái tou
不校	bù jiào
不根之谈	bù gān zhī tán
不正常	bú zhèng cháng
不正常地	bú zhèng cháng de
不毂	bù gū
不毛之地	bù máo zhī dì
不气长	bù qì cháng
不求甚解	bù qiú shèn jiě
不消得	bù xiāo de
不点儿	bù diǎn er
不煞	bù shà
不牧之地	bù mù zhī dì
不犯着	bù fàn zháo
不甚	bù shèn
不甚了了	bù shèn liǎo liǎo
不用说	bú yòng shuō
不由得	bù yóu de
不留余地	bù liú yú dì
不相中	bù xiāng zhòng
不相为谋	bù xiāng wéi móu
不相干	bù xiāng gān
不相称	bù xiāng chèn
不相称地	bù xiāng chèn de
不省	bù xǐng
不省人事	bù xǐng rén shì
不省得	bù xǐng de
